iter	Passed	Remaining
0	64	64826
1	130	64968
2	189	62892
3	252	62950
4	315	62764
5	382	63438
6	448	63580
7	508	63009
8	575	63411
9	648	64241
10	715	64312
11	778	64114
12	848	64424
13	925	65183
14	993	65233
15	1059	65188
16	1138	65841
17	1208	65929
18	1265	65359
19	1334	65383
20	1406	65584
21	1472	65454
22	1538	65333
23	1609	65434
24	1676	65367
25	1743	65326
26	1803	64974
27	1866	64805
28	1941	65004
29	2009	64989
30	2072	64781
31	2143	64848
32	2205	64621
33	2261	64250
34	2325	64119
35	2392	64066
36	2448	63729
37	2504	63408
38	2564	63194
39	2625	63023
40	2683	62770
41	2746	62648
42	2804	62420
43	2867	62312
44	2943	62470
45	3018	62596
46	3085	62569
47	3165	62786
48	3238	62848
49	3306	62831
50	3367	62670
51	3424	62437
52	3487	62320
53	3557	62314
54	3624	62281
55	3682	62078
56	3744	61940
57	3808	61863
58	3864	61634
59	3929	61558
60	3987	61383
61	4046	61217
62	4106	61070
63	4162	60873
64	4230	60852
65	4289	60700
66	4361	60733
67	4487	61504
68	4568	61638
69	4627	61473
70	4682	61272
71	4741	61118
72	4803	60997
73	4871	60965
74	4941	60943
75	5016	60985
76	5092	61044
77	5176	61186
78	5241	61109
79	5303	60992
80	5375	60993
81	5439	60892
82	5501	60777
83	5565	60694
84	5633	60642
85	5702	60607
86	5779	60656
87	5859	60722
88	5930	60704
89	6004	60708
90	6075	60690
91	6148	60683
92	6214	60612
93	6297	60692
94	6362	60614
95	6430	60550
96	6491	60432
97	6542	60217
98	6603	60101
99	6667	60008
100	6733	59932
101	6814	59993
102	6912	60196
103	7009	60385
104	7123	60721
105	7210	60813
106	7286	60814
107	7371	60881
108	7445	60864
109	7510	60763
110	7586	60761
111	7659	60730
112	7739	60754
113	7807	60680
114	7887	60700
115	7967	60715
116	8050	60755
117	8128	60754
118	8203	60730
119	8298	60853
120	8381	60888
121	8461	60893
122	8539	60884
123	8613	60846
124	8693	60857
125	8761	60772
126	8831	60710
127	8913	60721
128	8982	60647
129	9059	60627
130	9131	60574
131	9198	60489
132	9278	60481
133	9345	60396
134	9414	60319
135	9486	60269
136	9559	60215
137	9634	60179
138	9701	60095
139	9768	60009
140	9841	59958
141	9918	59929
142	9992	59883
143	10069	59859
144	10130	59732
145	10198	59656
146	10276	59631
147	10352	59597
148	10429	59569
149	10500	59500
150	10579	59485
151	10663	59493
152	10751	59518
153	10822	59450
154	10897	59406
155	10956	59278
156	11026	59205
157	11100	59153
158	11174	59106
159	11242	59021
160	11313	58955
161	11378	58859
162	11454	58821
163	11523	58741
164	11606	58735
165	11683	58697
166	11746	58590
167	11817	58525
168	11897	58500
169	11962	58407
170	12038	58359
171	12112	58307
172	12240	58511
